ID,income_segment,age_segment
342199,"Medium Income",Adult
8075450,"Low Income",Senior
13664263,"High Income",Adult
16164787,"Medium Income",Adult
15815139,"Medium Income",Adult
7194200,"Medium Income",Adult
2330269,"High Income",Senior
12076936,"Medium Income",Adult
13223357,"Medium Income",Senior
7068405,"Medium Income",Senior
1558456,"Medium Income",Senior
923176,"High Income",Senior
1271145,"Medium Income",Senior
15615168,"Medium Income",Senior
34723,"Low Income",Senior
9974730,"High Income",Senior
13780787,"Medium Income",Senior
2275327,"High Income",Senior
9413456,"Medium Income",Adult
2968257,"Low Income",Adult
13545753,"High Income",Adult
7322177,"Low Income",Senior
943046,"High Income",Senior
9006929,"Medium Income",Adult
16663364,"Low Income",Senior
10295988,"Low Income",Adult
5194720,"Low Income",Senior
8471865,"High Income",Senior
13912972,"High Income",Senior
13815974,"Medium Income",Adult
9754902,"Medium Income",Senior
6167587,"High Income",Senior
15145895,"High Income",Adult
3275751,"Medium Income",Senior
3620143,"High Income",Adult
16235636,"Low Income",Senior
7142362,"Low Income",Adult
622010,"Low Income",Senior
15626087,"High Income",Senior
16438440,"High Income",Adult
11796404,"Low Income",Adult
15398057,"High Income",Senior
4842847,"Low Income",Adult
11653033,"Medium Income",Senior
5576961,"Low Income",Senior
14959473,"Low Income",Adult
7119290,"Low Income",Adult
4443100,"Medium Income",Senior
12284547,"High Income",Senior
13826586,"Medium Income",Senior
1917384,"Medium Income",Senior
9510493,"High Income",Adult
6602036,"High Income",Senior
15452824,"High Income",Adult
13341014,"High Income",Senior
9096076,"Medium Income",Senior
1135566,"Low Income",Senior
11428767,"Low Income",Adult
14983459,"High Income",Adult
15464104,"High Income",Senior
9798566,"Medium Income",Senior
13086942,"Low Income",Senior
12115466,"Low Income",Adult
13187477,"Medium Income",Senior
15154878,"High Income",Adult
2100210,"Low Income",Adult
11755920,"Low Income",Adult
7248294,"Low Income",Senior
82023,"High Income",Senior
11834004,"High Income",Adult
12933809,"Low Income",Senior
10460549,"Low Income",Senior
15560129,"Low Income",Senior
15304690,"High Income",Senior
2924623,"Low Income",Senior
167125,"High Income",Adult
9860620,"Medium Income",Adult
1056015,"Low Income",Senior
14253993,"Low Income",Senior
15635945,"High Income",Adult
832275,"Medium Income",Adult
11422224,"High Income",Adult
7268453,"Low Income",Senior
7139089,"Medium Income",Senior
12308701,"Medium Income",Senior
7535384,"Medium Income",Senior
15685636,"High Income",Adult
15538107,"High Income",Senior
14371478,"Low Income",Adult
12508848,"Medium Income",Adult
15903053,"High Income",Senior
2425475,"High Income",Senior
1339664,"Low Income",Senior
13701816,"Medium Income",Adult
6757971,"High Income",Senior
3699727,"Medium Income",Senior
2693323,"Low Income",Adult
5377176,"Medium Income",Senior
5610727,"Medium Income",Adult
2304871,"High Income",Senior
14772449,"Low Income",Senior
6944787,"Low Income",Adult
666639,"Medium Income",Senior
11665366,"Low Income",Adult
12571366,"Low Income",Adult
7820810,"Low Income",Adult
8984294,"High Income",Senior
3379081,"High Income",Senior
10690550,"Low Income",Senior
12510546,"Low Income",Senior
6362038,"High Income",Adult
9451059,"High Income",Senior
5751590,"High Income",Senior
3362301,"High Income",Senior
4472203,"Medium Income",Senior
13283144,"Low Income",Adult
9392383,"Medium Income",Adult
331147,"Medium Income",Senior
6150043,"Low Income",Senior
